Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
744,26.741971,1.384102,420
244,26.676397,18.548044,421
253,26.554908,1.673579,422
137,26.437627,4.469748,423
143,26.342401,4.445846,424
891,26.342108,0.716567,425
859,26.277845,0.616757,426
424,26.125801,21.587606,427
444,26.118600,21.694540,428
53,26.019207,10.868056,429
31,26.019025,11.008647,430
625,25.878860,7.685850,431
635,25.868685,7.748672,432
484,25.798800,3.239510,433
188,25.789916,21.713091,434
190,25.783325,21.695516,435
281,25.782677,4.888515,436
431,25.696607,18.552927,437
239,25.690071,15.079747,438
437,25.634357,18.565878,439
237,25.478833,15.110229,440
117,25.109113,13.469890,441
163,25.060086,13.458691,442
451,25.030830,16.996765,443
58,25.014309,17.126713,444
417,24.923937,16.937259,445
26,24.886520,17.171812,446
301,24.879356,5.223095,447
273,24.344617,5.778879,448
569,23.366354,6.292425,449
593,23.344115,6.245662,450
932,22.887711,3.932835,451
916,22.791148,3.856408,452
936,22.625627,1.587609,453
912,22.619617,1.613022,454
653,22.505212,2.303710,455
607,22.424169,2.251925,456
360,22.417973,6.640298,457
741,22.390018,1.872221,458
959,22.388522,2.784914,459
987,22.387478,2.784755,460
312,22.370377,6.599905,461
861,22.354334,1.229629,462
136,22.350348,6.175495,463
889,22.338957,1.229113,464
240,22.325403,6.973471,465
236,22.319766,6.920361,466
67,22.310953,4.998082,467
715,22.298950,1.843553,468
685,22.285635,1.335315,469
144,22.225077,6.182669,470
115,22.187588,5.029849,471
187,22.141816,10.811128,472
736,22.089075,1.702506,473
44,22.022135,9.852679,474
720,22.011600,1.747885,475
191,21.967874,10.658482,476
1079,21.922445,1.636829,477
673,21.917922,1.574120,478
679,21.852605,1.540709,479
512,21.848708,5.136449,480
55,21.842999,15.180251,481
552,21.755868,5.141355,482
29,21.735055,15.154074,483
40,21.657209,9.772398,484
637,21.500528,11.686777,485
623,21.432801,11.622030,486
868,21.243574,0.908045,487
882,21.232981,0.890560,488
718,20.965226,0.691198,489
738,20.921756,0.722522,490
657,20.736224,0.786304,491
930,20.402435,1.346537,492
287,20.329947,6.557901,493
918,20.311998,1.345253,494
701,20.245262,0.750466,495
928,20.221485,1.418399,496
920,20.210702,1.437685,497
114,20.168900,14.055274,498
588,20.099714,6.893836,499
574,20.063302,6.950515,500
68,20.056063,13.971350,501
763,20.051941,3.314448,502
791,20.025916,3.322300,503
672,19.932173,1.818709,504
300,19.889911,4.530011,505
274,19.660689,4.496363,506
1047,19.644238,6.299759,507
508,19.572887,1.750251,508
556,19.559718,1.714156,509
686,19.505670,1.801602,510
347,19.352631,14.209985,511
681,19.337526,1.009844,512
325,19.333600,14.188550,513
677,19.094564,1.128032,514
667,19.091829,0.551873,515
956,19.081192,1.080448,516
990,19.021266,1.079676,517
543,18.903157,2.962636,518
521,18.837389,2.935566,519
691,18.693110,0.538667,520
310,18.649028,2.041839,521
264,18.500181,2.097217,522
289,18.484112,4.726718,523
934,18.285580,1.421647,524
914,18.218506,1.414871,525
485,18.042618,1.810121,526
929,18.005779,1.483492,527
919,17.938996,1.497783,528
586,17.920653,7.808340,529
576,17.780105,7.799349,530
285,17.343064,4.863500,531
481,17.172710,1.713424,532
881,17.102172,0.837418,533
767,17.080900,1.226442,534
787,17.058679,1.197947,535
869,17.010044,0.845879,536
995,16.932438,1.106983,537
951,16.931373,1.062453,538
318,16.782376,8.400953,539
354,16.751284,8.458148,540
600,16.725222,3.373597,541
847,16.713831,1.175517,542
925,16.706963,2.767580,543
633,16.675475,4.101195,544
627,16.661278,4.058617,545
913,16.627644,0.931720,546
923,16.617856,2.817606,547
562,16.606456,3.273149,548
935,16.593412,0.987468,549
766,16.571385,0.691842,550
131,16.556075,9.936738,551
788,16.543959,0.711003,552
149,16.534615,9.994356,553
296,16.530647,2.723408,554
805,16.518453,1.159188,555
757,16.484070,1.654588,556
797,16.477340,1.668189,557
1089,16.434638,0.859797,558
777,16.390617,0.831003,559
261,16.255350,3.104348,560
306,16.236166,2.154189,561
215,16.144335,3.189084,562
278,16.085674,2.573342,563
870,16.028469,0.636260,564
911,15.967801,1.513772,565
880,15.937935,0.630326,566
846,15.935503,1.332517,567
937,15.881628,1.526072,568
877,15.856385,0.667408,569
873,15.838411,0.682067,570
806,15.827073,1.334746,571
758,15.731477,0.930309,572
796,15.706209,0.906393,573
621,15.686472,7.917415,574
826,15.668044,1.565579,575
639,15.557639,7.952912,576
1094,15.547870,1.646499,577
268,15.466113,2.185913,578
241,15.461822,9.988147,579
638,15.426283,10.213370,580
622,15.394660,10.227425,581
258,15.391243,9.260522,582
235,15.357484,10.054482,583
218,15.322956,9.242991,584
908,15.190788,2.126295,585
940,15.165419,2.125553,586
260,15.162708,2.248363,587
969,15.148449,1.431556,588
745,15.115105,0.603331,589
977,15.083017,1.439928,590
711,15.081293,0.626378,591
217,14.964109,7.152256,592
259,14.922752,7.128551,593
134,14.885022,9.808892,594
950,14.827940,0.699599,595
146,14.825091,9.764634,596
216,14.795621,2.162426,597
996,14.794324,0.780491,598
660,14.714924,0.448172,599
246,14.644753,10.492499,600
254,14.588064,10.015496,601
706,14.581434,1.323201,602
750,14.511858,1.312945,603
222,14.454047,10.110379,604
272,14.439886,4.527168,605
230,14.411480,10.561754,606
302,14.316894,4.535499,607
698,14.245294,0.671286,608
725,14.228018,0.707027,609
885,14.222808,0.263284,610
695,14.197366,0.516982,611
731,14.192737,0.692153,612
565,14.159564,5.134755,613
687,14.155297,1.365354,614
597,14.111101,5.171716,615
865,14.103096,0.273034,616
1105,14.021648,1.909676,617
973,13.978741,1.895182,618
130,13.952663,6.277830,619
671,13.811690,1.496380,620
150,13.743612,6.313784,621
663,13.501470,0.549382,622
173,13.348114,6.126921,623
205,13.300250,6.102610,624
88,13.107284,4.795356,625
94,13.074952,4.896298,626
452,13.031937,6.505432,627
59,13.030507,8.887518,628
416,13.025137,6.499044,629
25,13.018705,8.968949,630
674,12.930821,0.792921,631
705,12.866826,0.890614,632
751,12.858021,0.913670,633
158,12.834918,5.837884,634
827,12.822821,2.610309,635
825,12.818291,2.572030,636
45,12.789684,4.168641,637
122,12.753469,5.738555,638
684,12.708890,0.602762,639
39,12.656309,4.346979,640
157,12.497437,7.819613,641
1028,12.463562,0.402741,642
123,12.398378,7.751763,643
583,12.392334,8.043220,644
282,12.271991,2.414876,645
579,12.244780,7.974105,646
60,12.233062,9.809869,647
24,12.206960,9.821174,648
1016,12.193959,0.451366,649
1035,12.192572,0.288721,650
707,12.187934,1.295280,651
292,12.187575,2.832412,652
841,12.180971,1.847254,653
811,12.083182,1.798698,654
749,12.075429,1.309945,655
878,12.052985,0.277078,656
942,11.928563,0.367121,657
872,11.924106,0.286554,658
1009,11.820316,0.249659,659
476,11.799593,2.832578,660
906,11.786549,0.448609,661
475,11.778272,2.439766,662
892,11.471259,0.238354,663
858,11.468903,0.227844,664
596,11.430618,5.179809,665
490,11.407139,3.126281,666
734,11.391923,2.097995,667
722,11.350866,2.123176,668
1063,11.328984,2.068153,669
491,11.288691,2.627688,670
604,11.264351,3.330502,671
640,11.256030,3.535134,672
558,11.247673,3.400533,673
792,11.243522,3.040116,674
566,11.237408,5.182525,675
620,11.215754,3.482172,676
762,11.189980,3.031201,677
102,11.166179,7.459978,678
986,11.161923,1.683413,679
848,11.151094,0.786232,680
756,11.146694,2.008503,681
80,11.138294,7.527277,682
804,11.136489,0.789847,683
960,11.087370,1.654756,684
798,11.085350,2.033202,685
540,10.716904,7.426730,686
203,10.712353,8.453888,687
524,10.699548,7.423667,688
733,10.665270,1.448012,689
175,10.656988,8.429201,690
871,10.598085,0.250416,691
723,10.545228,1.485408,692
879,10.520400,0.258660,693
18,10.448536,9.335478,694
66,10.436661,9.328237,695
483,10.176422,2.245880,696
178,10.044097,2.992894,697
200,10.014251,2.983129,698
1008,10.013760,0.333452,699
702,9.996586,0.544096,700
589,9.973759,6.765161,701
1036,9.873659,0.364398,702
477,9.831583,2.441984,703
573,9.764252,6.828534,704
862,9.743591,1.001874,705
888,9.602962,1.012066,706
462,9.449217,2.458655,707
915,9.433008,3.065140,708
933,9.419779,3.157524,709
994,9.400321,0.964144,710
952,9.355045,0.986176,711
168,9.272319,4.336438,712
210,9.267530,4.397602,713
408,9.255902,6.463436,714
656,9.225303,0.438692,715
176,9.217210,7.658127,716
202,9.182436,7.672909,717
362,9.171665,6.376895,718
