Feature Index,Mean_Absolute_Importance,Std_Absolute_Importance,True_Stable_Rank
539,4.589899,0.537850,632
204,4.582515,0.566903,633
174,4.575973,0.566183,634
791,4.533048,0.328450,635
763,4.530386,0.331368,636
241,4.526194,0.191200,637
235,4.519419,0.187828,638
1028,4.505286,0.062883,639
269,4.501640,2.862351,640
981,4.498151,0.191459,641
965,4.496489,0.183464,642
100,4.494418,0.844989,643
82,4.492934,0.842049,644
703,4.490354,0.093499,645
305,4.486896,2.849127,646
655,4.486510,0.103944,647
1016,4.481781,0.060894,648
797,4.431227,0.172982,649
160,4.425047,0.163949,650
1052,4.423508,0.692919,651
120,4.419658,0.159903,652
757,4.396657,0.174122,653
1036,4.393657,0.071716,654
605,4.388037,0.414592,655
751,4.376253,0.091393,656
705,4.376039,0.097615,657
1001,4.375972,0.034477,658
557,4.375290,0.419845,659
1043,4.371154,0.028978,660
1008,4.357919,0.067927,661
742,4.308275,0.206238,662
150,4.305834,0.125981,663
130,4.295552,0.126790,664
714,4.292697,0.197872,665
344,4.292212,1.437287,666
741,4.251117,0.264843,667
625,4.247486,0.301836,668
514,4.245670,0.138328,669
715,4.235045,0.266947,670
550,4.234158,0.137506,671
635,4.231998,0.296955,672
328,4.143449,1.436874,673
720,4.136100,0.179813,674
974,4.133779,0.247584,675
957,4.097815,0.089683,676
972,4.096693,0.245695,677
736,4.091283,0.178632,678
989,4.089316,0.093598,679
143,4.055908,0.186690,680
336,4.055357,0.740103,681
137,4.050666,0.183965,682
248,4.022488,0.150336,683
891,4.022306,0.192804,684
169,4.000214,0.327935,685
859,3.992454,0.192531,686
209,3.983686,0.329032,687
228,3.950046,0.142100,688
177,3.947858,0.411533,689
201,3.936968,0.413225,690
88,3.844392,0.273220,691
94,3.831854,0.290805,692
1100,3.809164,0.126056,693
924,3.807226,0.125723,694
623,3.807161,0.528429,695
637,3.769189,0.516558,696
753,3.755027,0.118354,697
718,3.728151,0.157973,698
801,3.719971,0.107366,699
738,3.692369,0.155027,700
654,3.649377,0.097153,701
639,3.632848,0.426602,702
162,3.626521,0.134701,703
118,3.618339,0.130017,704
606,3.608904,0.097172,705
603,3.603830,0.310461,706
1041,3.575121,0.037495,707
621,3.569910,0.432366,708
559,3.559883,0.317659,709
713,3.536350,0.201439,710
743,3.532438,0.202383,711
234,3.507288,0.158976,712
1003,3.497976,0.038960,713
242,3.446314,0.164164,714
558,3.430325,0.443145,715
60,3.411871,0.185640,716
3,3.407032,0.046720,717
604,3.391205,0.441674,718
24,3.383297,0.177834,719
424,3.370848,1.376485,720
907,3.353902,0.028568,721
821,3.341932,0.145594,722
941,3.338713,0.027201,723
17,3.337969,0.399525,724
444,3.337880,1.363493,725
831,3.302489,0.145895,726
706,3.288943,0.136067,727
750,3.264686,0.134184,728
1068,3.225263,0.285393,729
862,3.211155,0.666672,730
888,3.208334,0.676608,731
589,3.207885,1.026579,732
573,3.179409,1.024979,733
198,3.178955,0.630165,734
180,3.157915,0.625310,735
562,3.151000,0.424947,736
103,3.145722,0.507045,737
79,3.145511,0.507766,738
532,3.135277,0.290461,739
119,3.120793,0.192225,740
81,3.109890,0.185743,741
161,3.107259,0.190806,742
101,3.103987,0.189595,743
76,3.072610,0.807165,744
106,3.068097,0.809550,745
1089,3.062805,0.182159,746
600,3.059675,0.424236,747
777,3.050397,0.185458,748
783,3.040664,0.547032,749
771,3.035297,0.549450,750
1159,3.013830,0.063075,751
250,2.991352,0.202819,752
226,2.979353,0.196572,753
912,2.977906,0.098008,754
936,2.968053,0.092820,755
434,2.962954,1.407022,756
599,2.953024,0.418967,757
917,2.918407,0.176626,758
563,2.918403,0.417423,759
798,2.914976,0.152521,760
756,2.896246,0.150328,761
326,2.894711,0.830516,762
931,2.885067,0.170737,763
935,2.884917,0.031727,764
913,2.837803,0.036921,765
724,2.835255,0.167877,766
1126,2.833390,0.034430,767
732,2.815765,0.162140,768
486,2.781953,0.202265,769
975,2.774291,0.283094,770
480,2.757005,0.198074,771
105,2.748521,1.036053,772
708,2.742449,0.139453,773
748,2.730728,0.146098,774
77,2.730110,1.043246,775
971,2.712204,0.283020,776
129,2.688456,0.093098,777
1178,2.684112,0.037352,778
151,2.678250,0.093295,779
908,2.640057,0.070075,780
849,2.631007,0.060022,781
803,2.603688,0.054835,782
346,2.603192,0.838930,783
1010,2.598141,0.065174,784
614,2.595321,0.470129,785
597,2.591856,1.449653,786
940,2.589094,0.066418,787
1062,2.585942,1.309332,788
1034,2.584407,0.064285,789
121,2.577911,0.093235,790
159,2.567076,0.097490,791
565,2.564160,1.446566,792
1183,2.557166,0.033215,793
838,2.555853,0.161248,794
646,2.553906,0.469572,795
919,2.519136,0.156109,796
929,2.504849,0.152472,797
648,2.498887,0.115339,798
814,2.488444,0.163073,799
436,2.456750,1.858621,800
1162,2.454083,0.036527,801
612,2.449916,0.118540,802
210,2.446709,0.215311,803
958,2.441091,0.100501,804
988,2.441014,0.097064,805
877,2.414151,0.280539,806
873,2.404693,0.285686,807
528,2.403977,0.409443,808
536,2.391506,0.412731,809
529,2.374192,0.441045,810
168,2.374043,0.202044,811
535,2.356476,0.439211,812
515,2.327977,0.259266,813
508,2.286684,0.110502,814
556,2.281979,0.115616,815
1176,2.272882,0.046055,816
432,2.268104,1.723702,817
549,2.267398,0.262912,818
1160,2.260029,0.049388,819
1168,2.243269,0.074878,820
752,2.222369,0.039440,821
1006,2.221569,0.035583,822
163,2.218615,0.058359,823
1031,2.204892,0.046562,824
117,2.201729,0.063498,825
704,2.198364,0.035498,826
1013,2.142411,0.053759,827
968,2.129585,0.264479,828
1038,2.128020,0.028913,829
978,2.112290,0.255664,830
488,2.110851,0.531486,831
478,2.091270,0.535910,832
809,2.078764,0.057022,833
69,2.062680,0.174226,834
113,2.061533,0.174456,835
900,2.052711,0.018372,836
843,2.030205,0.060989,837
948,2.022270,0.014754,838
1027,1.998315,0.079202,839
934,1.993114,0.045409,840
1017,1.989328,0.079286,841
914,1.975071,0.047520,842
221,1.883970,0.069772,843
952,1.847348,0.044747,844
994,1.845841,0.041889,845
1020,1.845622,0.058490,846
911,1.838196,0.152405,847
546,1.835981,0.558378,848
1044,1.817301,0.035646,849
928,1.811039,0.037795,850
518,1.802775,0.560611,851
937,1.802170,0.148024,852
628,1.800644,0.320147,853
1024,1.798468,0.064167,854
920,1.789568,0.039561,855
255,1.776674,0.075947,856
1191,1.774111,0.015236,857
1000,1.758600,0.022874,858
632,1.757983,0.323188,859
157,1.756524,0.053548,860
412,1.746084,1.471025,861
123,1.743084,0.066647,862
11,1.720564,0.254459,863
456,1.710963,1.462679,864
863,1.681720,0.360497,865
986,1.675597,0.147677,866
317,1.673516,1.086791,867
887,1.673302,0.360775,868
170,1.661506,0.144497,869
960,1.640576,0.142033,870
208,1.640169,0.150293,871
355,1.637964,1.071365,872
215,1.634326,0.085886,873
923,1.611866,0.214995,874
261,1.610671,0.088212,875
925,1.578612,0.208704,876
848,1.558555,0.087662,877
804,1.555495,0.092072,878
70,1.549998,0.243140,879
851,1.547219,0.019578,880
638,1.543372,0.487752,881
112,1.524048,0.254748,882
333,1.518584,1.222460,883
622,1.509883,0.482801,884
1218,1.507379,0.017103,885
629,1.507357,0.376507,886
158,1.497210,0.030018,887
899,1.496934,0.020286,888
601,1.487130,0.299350,889
122,1.486210,0.031375,890
1111,1.478945,0.019743,891
111,1.453699,0.191826,892
